小韻	字	聲母	韻母	聲調	楊耐思	寧繼福	薛鳳生(音位)	unt(音位)	unt	釋義	校註
東	東	端	東鍾合	陰	tuŋ	tuŋ	twoŋ	tuŋ	tuŋ		
東	冬	端	東鍾合	陰	tuŋ	tuŋ	twoŋ	tuŋ	tuŋ		
鍾	鍾	照	東鍾合	陰	tʃuŋ	tʂuŋ	crwoŋ	tʂuŋ	tʂuŋ		
鍾	鐘	照	東鍾合	陰	tʃuŋ	tʂuŋ	crwoŋ	tʂuŋ	tʂuŋ		
鍾	中	照	東鍾合	陰	tʃuŋ	tʂuŋ	crwoŋ	tʂuŋ	tʂuŋ		
鍾	忠	照	東鍾合	陰	tʃuŋ	tʂuŋ	crwoŋ	tʂuŋ	tʂuŋ		
鍾	衷	照	東鍾合	陰	tʃuŋ	tʂuŋ	crwoŋ	tʂuŋ	tʂuŋ		
鍾	終	照	東鍾合	陰	tʃuŋ	tʂuŋ	crwoŋ	tʂuŋ	tʂuŋ		
通	通	透	東鍾合	陰	tʻuŋ	tʻuŋ	thwoŋ	tʰuŋ	tʰuŋ		
通	蓪	透	東鍾合	陰	tʻuŋ	tʻuŋ	thwoŋ	tʰuŋ	tʰuŋ		
松	松	心	東鍾撮	陰	siuŋ	siuŋ	sywoŋ	sjuŋ	sjuŋ		
松	嵩	心	東鍾撮	陰	siuŋ	siuŋ	sywoŋ	sjuŋ	sjuŋ		
冲	冲	穿	東鍾合	陰	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
冲	充	穿	東鍾合	陰	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
冲	衝	穿	東鍾合	陰	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
冲	舂	穿	東鍾合	陰	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
冲	忡	穿	東鍾合	陰	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
冲	摏	穿	東鍾合	陰	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
冲	艟	穿	東鍾合	陰	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
冲	䂌	穿	東鍾合	陰	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
冲	翀	穿	東鍾合	陰	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
冲	种	穿	東鍾合	陰	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
邕	邕	影	東鍾撮	陰	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
邕	嗈	影	東鍾撮	陰	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
邕	雍	影	東鍾撮	陰	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
空	空	溪	東鍾合	陰	kʻuŋ	kʻuŋ	khwoŋ	kʰuŋ	kʰuŋ		
空	悾	溪	東鍾合	陰	kʻuŋ	kʻuŋ	khwoŋ	kʰuŋ	kʰuŋ		
宗	宗	精	東鍾合	陰	tsuŋ	tsuŋ	cwoŋ	tsuŋ	tsuŋ		
宗	椶	精	東鍾合	陰	tsuŋ	tsuŋ	cwoŋ	tsuŋ	tsuŋ		
宗	騣	精	東鍾合	陰	tsuŋ	tsuŋ	cwoŋ	tsuŋ	tsuŋ		
風	風	非	東鍾合	陰	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
風	楓	非	東鍾合	陰	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
風	豐	非	東鍾合	陰	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
風	封	非	東鍾合	陰	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
風	葑	非	東鍾合	陰	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
風	峯	非	東鍾合	陰	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
風	鋒	非	東鍾合	陰	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
風	烽	非	東鍾合	陰	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
風	丰	非	東鍾合	陰	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
風	蜂	非	東鍾合	陰	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
鬆	鬆	心	東鍾合	陰	suŋ	suŋ	swoŋ	suŋ	suŋ		
鬆	憽	心	東鍾合	陰	suŋ	suŋ	swoŋ	suŋ	suŋ		原作“愡”，誤
匆	匆	清	東鍾合	陰	tsʻuŋ	tsʻuŋ	chwoŋ	tsʰuŋ	tsʰuŋ		
匆	蔥葱	清	東鍾合	陰	tsʻuŋ	tsʻuŋ	chwoŋ	tsʰuŋ	tsʰuŋ		
匆	聰聦	清	東鍾合	陰	tsʻuŋ	tsʻuŋ	chwoŋ	tsʰuŋ	tsʰuŋ		
匆	驄	清	東鍾合	陰	tsʻuŋ	tsʻuŋ	chwoŋ	tsʰuŋ	tsʰuŋ		
匆	囱	清	東鍾合	陰	tsʻuŋ	tsʻuŋ	chwoŋ	tsʰuŋ	tsʰuŋ	煙突	
蹤	蹤	精	東鍾撮	陰	tsiuŋ	tsiuŋ	cywoŋ	tsjuŋ	tsjuŋ		
蹤	縱	精	東鍾撮	陰	tsiuŋ	tsiuŋ	cywoŋ	tsjuŋ	tsjuŋ		
蹤	樅	精	東鍾撮	陰	tsiuŋ	tsiuŋ	cywoŋ	tsjuŋ	tsjuŋ		
穹	穹	溪	東鍾撮	陰	kʻiuŋ	kʻiuŋ	khywoŋ	kʰjuŋ	kʰjuŋ		
穹	芎	溪	東鍾撮	陰	kʻiuŋ	kʻiuŋ	khywoŋ	kʰjuŋ	kʰjuŋ		
穹	傾	溪	東鍾撮	陰	kʻiuŋ	kʻiuŋ	khywoŋ	kʰjuŋ	kʰjuŋ		
工	工	見	東鍾合	陰	kuŋ	kuŋ	kwoŋ	kuŋ	kuŋ		
工	功	見	東鍾合	陰	kuŋ	kuŋ	kwoŋ	kuŋ	kuŋ		
工	攻	見	東鍾合	陰	kuŋ	kuŋ	kwoŋ	kuŋ	kuŋ		
工	公	見	東鍾合	陰	kuŋ	kuŋ	kwoŋ	kuŋ	kuŋ		
工	蚣	見	東鍾合	陰	kuŋ	kuŋ	kwoŋ	kuŋ	kuŋ		
工	弓	見	東鍾合	陰	kuŋ	kuŋ	kwoŋ	kuŋ	kuŋ		
工	躬	見	東鍾合	陰	kuŋ	kuŋ	kwoŋ	kuŋ	kuŋ		
工	恭	見	東鍾合	陰	kuŋ	kuŋ	kwoŋ	kuŋ	kuŋ		
工	宮宫	見	東鍾合	陰	kuŋ	kuŋ	kwoŋ	kuŋ	kuŋ		
工	龔	見	東鍾合	陰	kuŋ	kuŋ	kwoŋ	kuŋ	kuŋ		
工	供	見	東鍾合	陰	kuŋ	kuŋ	kwoŋ	kuŋ	kuŋ		
工	肱	見	東鍾合	陰	kuŋ	kuŋ	kwoŋ	kuŋ	kuŋ		
工	觥	見	東鍾合	陰	kuŋ	kuŋ	kwoŋ	kuŋ	kuŋ		
烘	烘	曉	東鍾合	陰	xuŋ	xuŋ	hwoŋ	xuŋ	xuŋ		
烘	叿	曉	東鍾合	陰	xuŋ	xuŋ	hwoŋ	xuŋ	xuŋ	人聲	
烘	轟	曉	東鍾合	陰	xuŋ	xuŋ	hwoŋ	xuŋ	xuŋ		
烘	薨	曉	東鍾合	陰	xuŋ	xuŋ	hwoŋ	xuŋ	xuŋ		
凶	凶	曉	東鍾撮	陰	xiuŋ	xiuŋ	hywoŋ	xjuŋ	xjuŋ		
凶	兇	曉	東鍾撮	陰	xiuŋ	xiuŋ	hywoŋ	xjuŋ	xjuŋ		
凶	胷	曉	東鍾撮	陰	xiuŋ	xiuŋ	hywoŋ	xjuŋ	xjuŋ		
凶	洶	曉	東鍾撮	陰	xiuŋ	xiuŋ	hywoŋ	xjuŋ	xjuŋ		
凶	兄	曉	東鍾撮	陰	xiuŋ	xiuŋ	hywoŋ	xjuŋ	xjuŋ		
翁	翁	影	東鍾合	陰	uŋ	uŋ	woŋ	uŋ	uŋ		
翁	䩺	影	東鍾合	陰	uŋ	uŋ	woŋ	uŋ	uŋ		四庫本作“𨎃”
翁	癰	影	東鍾合	陰	uŋ	uŋ	woŋ	uŋ	uŋ		
翁	廱	影	東鍾合	陰	uŋ	uŋ	woŋ	uŋ	uŋ	辟	
翁	壅	影	東鍾合	陰	uŋ	uŋ	woŋ	uŋ	uŋ		
翁	泓	影	東鍾合	陰	uŋ	uŋ	woŋ	uŋ	uŋ		
崩1	崩	幫	東鍾合	陰	puŋ	puŋ	pwoŋ	puŋ	puŋ		
崩1	繃	幫	東鍾合	陰	puŋ	puŋ	pwoŋ	puŋ	puŋ		
烹1	烹	滂	東鍾合	陰	pʻuŋ	pʻuŋ	phwoŋ	pʰuŋ	pʰuŋ		
同	同	透	東鍾合	陽	tʻuŋ	tʻuŋ	thwoŋ	tʰuŋ	tʰuŋ		
同	筒	透	東鍾合	陽	tʻuŋ	tʻuŋ	thwoŋ	tʰuŋ	tʰuŋ		
同	銅	透	東鍾合	陽	tʻuŋ	tʻuŋ	thwoŋ	tʰuŋ	tʰuŋ		
同	桐	透	東鍾合	陽	tʻuŋ	tʻuŋ	thwoŋ	tʰuŋ	tʰuŋ		
同	峒	透	東鍾合	陽	tʻuŋ	tʻuŋ	thwoŋ	tʰuŋ	tʰuŋ		
同	童	透	東鍾合	陽	tʻuŋ	tʻuŋ	thwoŋ	tʰuŋ	tʰuŋ		
同	僮	透	東鍾合	陽	tʻuŋ	tʻuŋ	thwoŋ	tʰuŋ	tʰuŋ		
同	曈	透	東鍾合	陽	tʻuŋ	tʻuŋ	thwoŋ	tʰuŋ	tʰuŋ		
同	橦	透	東鍾合	陽	tʻuŋ	tʻuŋ	thwoŋ	tʰuŋ	tʰuŋ		
同	瞳	透	東鍾合	陽	tʻuŋ	tʻuŋ	thwoŋ	tʰuŋ	tʰuŋ		
同	朣	透	東鍾合	陽	tʻuŋ	tʻuŋ	thwoŋ	tʰuŋ	tʰuŋ		
同	潼	透	東鍾合	陽	tʻuŋ	tʻuŋ	thwoŋ	tʰuŋ	tʰuŋ		
同	鼕	透	東鍾合	陽	tʻuŋ	tʻuŋ	thwoŋ	tʰuŋ	tʰuŋ		
戎	戎	日	東鍾合	陽	ʒuŋ	ɽuŋ	rwoŋ	ɻuŋ	ɻuŋ		
戎	茙	日	東鍾合	陽	ʒuŋ	ɽuŋ	rwoŋ	ɻuŋ	ɻuŋ		
戎	駥	日	東鍾合	陽	ʒuŋ	ɽuŋ	rwoŋ	ɻuŋ	ɻuŋ		
戎	絨	日	東鍾合	陽	ʒuŋ	ɽuŋ	rwoŋ	ɻuŋ	ɻuŋ		
戎	㲨	日	東鍾合	陽	ʒuŋ	ɽuŋ	rwoŋ	ɻuŋ	ɻuŋ		
戎	茸	日	東鍾合	陽	ʒuŋ	ɽuŋ	rwoŋ	ɻuŋ	ɻuŋ		
龍	龍	來	東鍾撮	陽	liuŋ	liuŋ	lywoŋ	ljuŋ	ljuŋ		
龍	隆	來	東鍾撮	陽	liuŋ	liuŋ	lywoŋ	ljuŋ	ljuŋ		
龍	癃	來	東鍾撮	陽	liuŋ	liuŋ	lywoŋ	ljuŋ	ljuŋ		
龍	窿	來	東鍾撮	陽	liuŋ	liuŋ	lywoŋ	ljuŋ	ljuŋ		
窮	窮	溪	東鍾撮	陽	kʻiuŋ	kʻiuŋ	khywoŋ	kʰjuŋ	kʰjuŋ		
窮	藭	溪	東鍾撮	陽	kʻiuŋ	kʻiuŋ	khywoŋ	kʰjuŋ	kʰjuŋ		
窮	蛩	溪	東鍾撮	陽	kʻiuŋ	kʻiuŋ	khywoŋ	kʰjuŋ	kʰjuŋ		
窮	邛卭	溪	東鍾撮	陽	kʻiuŋ	kʻiuŋ	khywoŋ	kʰjuŋ	kʰjuŋ		
窮	筇笻	溪	東鍾撮	陽	kʻiuŋ	kʻiuŋ	khywoŋ	kʰjuŋ	kʰjuŋ		
籠	籠	來	東鍾合	陽	luŋ	luŋ	lwoŋ	luŋ	luŋ		
籠	曨	來	東鍾合	陽	luŋ	luŋ	lwoŋ	luŋ	luŋ		
籠	朧	來	東鍾合	陽	luŋ	luŋ	lwoŋ	luŋ	luŋ		
籠	櫳	來	東鍾合	陽	luŋ	luŋ	lwoŋ	luŋ	luŋ		
籠	瓏	來	東鍾合	陽	luŋ	luŋ	lwoŋ	luŋ	luŋ		
籠	豅	來	東鍾合	陽	luŋ	luŋ	lwoŋ	luŋ	luŋ		
籠	礱	來	東鍾合	陽	luŋ	luŋ	lwoŋ	luŋ	luŋ		
籠	聾	來	東鍾合	陽	luŋ	luŋ	lwoŋ	luŋ	luŋ		
籠	嚨	來	東鍾合	陽	luŋ	luŋ	lwoŋ	luŋ	luŋ		
膿	膿	泥	東鍾合	陽	nuŋ	nuŋ	nwoŋ	nuŋ	nuŋ		
膿	農	泥	東鍾合	陽	nuŋ	nuŋ	nwoŋ	nuŋ	nuŋ		
膿	儂	泥	東鍾合	陽	nuŋ	nuŋ	nwoŋ	nuŋ	nuŋ		
濃	濃	泥	東鍾撮	陽	niuŋ	niuŋ	nywoŋ	njuŋ	njuŋ		
濃	穠	泥	東鍾撮	陽	niuŋ	niuŋ	nywoŋ	njuŋ	njuŋ		
濃	醲	泥	東鍾撮	陽	niuŋ	niuŋ	nywoŋ	njuŋ	njuŋ		
重	重	穿	東鍾合	陽	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
重	蟲	穿	東鍾合	陽	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
重	慵	穿	東鍾合	陽	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
重	𦄢	穿	東鍾合	陽	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
重	崇	穿	東鍾合	陽	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
馮	馮	非	東鍾合	陽	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
馮	逢	非	東鍾合	陽	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
馮	縫	非	東鍾合	陽	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
叢	叢	清	東鍾合	陽	tsʻuŋ	tsʻuŋ	chwoŋ	tsʰuŋ	tsʰuŋ		
叢	䕺	清	東鍾合	陽	tsʻuŋ	tsʻuŋ	chwoŋ	tsʰuŋ	tsʰuŋ		
叢	琮	清	東鍾合	陽	tsʻuŋ	tsʻuŋ	chwoŋ	tsʰuŋ	tsʰuŋ		
熊	熊	曉	東鍾撮	陽	xiuŋ	xiuŋ	hywoŋ	xjuŋ	xjuŋ		
熊	雄	曉	東鍾撮	陽	xiuŋ	xiuŋ	hywoŋ	xjuŋ	xjuŋ		
容	容	影	東鍾撮	陽	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
容	溶	影	東鍾撮	陽	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
容	蓉	影	東鍾撮	陽	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
容	瑢	影	東鍾撮	陽	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
容	鎔	影	東鍾撮	陽	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
容	庸	影	東鍾撮	陽	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
容	傭	影	東鍾撮	陽	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
容	鄘	影	東鍾撮	陽	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
容	鏞	影	東鍾撮	陽	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
容	墉	影	東鍾撮	陽	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
容	融	影	東鍾撮	陽	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
容	榮	影	東鍾撮	陽	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
蒙	蒙	明	東鍾合	陽	muŋ	muŋ	mwoŋ	muŋ	muŋ		
蒙	濛	明	東鍾合	陽	muŋ	muŋ	mwoŋ	muŋ	muŋ		
蒙	朦	明	東鍾合	陽	muŋ	muŋ	mwoŋ	muŋ	muŋ		
蒙	矇	明	東鍾合	陽	muŋ	muŋ	mwoŋ	muŋ	muŋ		
蒙	甍	明	東鍾合	陽	muŋ	muŋ	mwoŋ	muŋ	muŋ		
蒙	盲	明	東鍾合	陽	muŋ	muŋ	mwoŋ	muŋ	muŋ		
蒙	瞢	明	東鍾合	陽	muŋ	muŋ	mwoŋ	muŋ	muŋ		
蒙	萌	明	東鍾合	陽	muŋ	muŋ	mwoŋ	muŋ	muŋ		
紅	紅	曉	東鍾合	陽	xuŋ	xuŋ	hwoŋ	xuŋ	xuŋ		
紅	谼	曉	東鍾合	陽	xuŋ	xuŋ	hwoŋ	xuŋ	xuŋ		
紅	虹	曉	東鍾合	陽	xuŋ	xuŋ	hwoŋ	xuŋ	xuŋ		
紅	洪	曉	東鍾合	陽	xuŋ	xuŋ	hwoŋ	xuŋ	xuŋ		四庫本作“哄”，誤
紅	鴻	曉	東鍾合	陽	xuŋ	xuŋ	hwoŋ	xuŋ	xuŋ		
紅	宏	曉	東鍾合	陽	xuŋ	xuŋ	hwoŋ	xuŋ	xuŋ		
紅	綋	曉	東鍾合	陽	xuŋ	xuŋ	hwoŋ	xuŋ	xuŋ		
紅	橫横	曉	東鍾合	陽	xuŋ	xuŋ	hwoŋ	xuŋ	xuŋ		
紅	嶸	曉	東鍾合	陽	xuŋ	xuŋ	hwoŋ	xuŋ	xuŋ		
紅	弘	曉	東鍾合	陽	xuŋ	xuŋ	hwoŋ	xuŋ	xuŋ		
蓬	蓬	滂	東鍾合	陽	pʻuŋ	pʻuŋ	phwoŋ	pʰuŋ	pʰuŋ		
蓬	篷	滂	東鍾合	陽	pʻuŋ	pʻuŋ	phwoŋ	pʰuŋ	pʰuŋ		
蓬	芃	滂	東鍾合	陽	pʻuŋ	pʻuŋ	phwoŋ	pʰuŋ	pʰuŋ		
蓬	髼	滂	東鍾合	陽	pʻuŋ	pʻuŋ	phwoŋ	pʰuŋ	pʰuŋ		
蓬	彭	滂	東鍾合	陽	pʻuŋ	pʻuŋ	phwoŋ	pʰuŋ	pʰuŋ		
蓬	棚	滂	東鍾合	陽	pʻuŋ	pʻuŋ	phwoŋ	pʰuŋ	pʰuŋ		
蓬	鵬	滂	東鍾合	陽	pʻuŋ	pʻuŋ	phwoŋ	pʰuŋ	pʰuŋ		
從	從	清	東鍾撮	陽	tsʻiuŋ	tsʻiuŋ	chywoŋ	tsʰjuŋ	tsʰjuŋ		
董	董	端	東鍾合	上	tuŋ	tuŋ	twoŋ	tuŋ	tuŋ		
董	懂	端	東鍾合	上	tuŋ	tuŋ	twoŋ	tuŋ	tuŋ		
腫	腫	照	東鍾合	上	tʃuŋ	tʂuŋ	crwoŋ	tʂuŋ	tʂuŋ		
腫	踵	照	東鍾合	上	tʃuŋ	tʂuŋ	crwoŋ	tʂuŋ	tʂuŋ		
腫	種	照	東鍾合	上	tʃuŋ	tʂuŋ	crwoŋ	tʂuŋ	tʂuŋ		
腫	冢	照	東鍾合	上	tʃuŋ	tʂuŋ	crwoŋ	tʂuŋ	tʂuŋ		
孔	孔	溪	東鍾合	上	kʻuŋ	kʻuŋ	khwoŋ	kʰuŋ	kʰuŋ		
孔	恐	溪	東鍾合	上	kʻuŋ	kʻuŋ	khwoŋ	kʰuŋ	kʰuŋ		
桶	桶	透	東鍾合	上	tʻuŋ	tʻuŋ	thwoŋ	tʰuŋ	tʰuŋ		
桶	統	透	東鍾合	上	tʻuŋ	tʻuŋ	thwoŋ	tʰuŋ	tʰuŋ		
汞	汞	曉	東鍾合	上	xuŋ	xuŋ	hwoŋ	xuŋ	xuŋ		
汞	嗊	曉	東鍾合	上	xuŋ	xuŋ	hwoŋ	xuŋ	xuŋ		
隴	隴	來	東鍾撮	上	liuŋ	liuŋ	lywoŋ	ljuŋ	ljuŋ		
隴	壠	來	東鍾撮	上	liuŋ	liuŋ	lywoŋ	ljuŋ	ljuŋ		
篢	篢	來	東鍾合	上	luŋ	luŋ	lwoŋ	luŋ	luŋ		或爲“籠”
篢	攏	來	東鍾合	上	luŋ	luŋ	lwoŋ	luŋ	luŋ		
洶	洶	曉	東鍾撮	上	xiuŋ	xiuŋ	hywoŋ	xjuŋ	xjuŋ		
洶	詾	曉	東鍾撮	上	xiuŋ	xiuŋ	hywoŋ	xjuŋ	xjuŋ		
聳	聳	心	東鍾撮	上	siuŋ	siuŋ	sywoŋ	sjuŋ	sjuŋ		
聳	竦	心	東鍾撮	上	siuŋ	siuŋ	sywoŋ	sjuŋ	sjuŋ		
拱	拱	見	東鍾合	上	kuŋ	kuŋ	kwoŋ	kuŋ	kuŋ		
拱	鞏	見	東鍾合	上	kuŋ	kuŋ	kwoŋ	kuŋ	kuŋ		
拱	珙	見	東鍾合	上	kuŋ	kuŋ	kwoŋ	kuŋ	kuŋ		
勇	勇	影	東鍾撮	上	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
勇	擁	影	東鍾撮	上	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
勇	涌	影	東鍾撮	上	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
勇	踊	影	東鍾撮	上	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
勇	悀	影	東鍾撮	上	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
勇	永	影	東鍾撮	上	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
勇	俑	影	東鍾撮	上	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
蠓	蠓	明	東鍾合	上	muŋ	muŋ	mwoŋ	muŋ	muŋ		
蠓	懵	明	東鍾合	上	muŋ	muŋ	mwoŋ	muŋ	muŋ		
蠓	猛	明	東鍾合	上	muŋ	muŋ	mwoŋ	muŋ	muŋ		
蠓	艋	明	東鍾合	上	muŋ	muŋ	mwoŋ	muŋ	muŋ		
蠓	蜢	明	東鍾合	上	muŋ	muŋ	mwoŋ	muŋ	muŋ		
總	總	精	東鍾合	上	tsuŋ	tsuŋ	cwoŋ	tsuŋ	tsuŋ		
捧	捧	非	東鍾合	上	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		《中州音韻》夫孔切
寵	寵	穿	東鍾合	上	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
冗	冗	日	東鍾合	上	ʒuŋ	ɽuŋ	rwoŋ	ɻuŋ	ɻuŋ		
噥	噥	泥	東鍾合	上	nuŋ	nuŋ	nwoŋ	nuŋ	nuŋ		
唪	唪	幫	東鍾合	上	puŋ	puŋ	pwoŋ	puŋ	puŋ		《中州音韻》（琫小韻）邊孔切。《集韻》補孔切，宋本《玉篇》又方孔切
洞	洞	端	東鍾合	去	tuŋ	tuŋ	twoŋ	tuŋ	tuŋ		
洞	動	端	東鍾合	去	tuŋ	tuŋ	twoŋ	tuŋ	tuŋ		
洞	棟	端	東鍾合	去	tuŋ	tuŋ	twoŋ	tuŋ	tuŋ		
洞	凍	端	東鍾合	去	tuŋ	tuŋ	twoŋ	tuŋ	tuŋ		
洞	蝀	端	東鍾合	去	tuŋ	tuŋ	twoŋ	tuŋ	tuŋ		
鳳	鳳	非	東鍾合	去	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
鳳	奉	非	東鍾合	去	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
鳳	諷	非	東鍾合	去	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
鳳	縫	非	東鍾合	去	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
貢	貢	見	東鍾合	去	kuŋ	kuŋ	kwoŋ	kuŋ	kuŋ		
貢	共	見	東鍾合	去	kuŋ	kuŋ	kwoŋ	kuŋ	kuŋ		
貢	供	見	東鍾合	去	kuŋ	kuŋ	kwoŋ	kuŋ	kuŋ		
宋	宋	心	東鍾合	去	suŋ	suŋ	swoŋ	suŋ	suŋ		
宋	送	心	東鍾合	去	suŋ	suŋ	swoŋ	suŋ	suŋ		
弄	弄	來	東鍾合	去	luŋ	luŋ	lwoŋ	luŋ	luŋ		
弄	哢	來	東鍾合	去	luŋ	luŋ	lwoŋ	luŋ	luŋ		
弄	礱	來	東鍾合	去	luŋ	luŋ	lwoŋ	luŋ	luŋ		
控	控	溪	東鍾合	去	kʻuŋ	kʻuŋ	khwoŋ	kʰuŋ	kʰuŋ		
控	空	溪	東鍾合	去	kʻuŋ	kʻuŋ	khwoŋ	kʰuŋ	kʰuŋ		
控	鞚	溪	東鍾合	去	kʻuŋ	kʻuŋ	khwoŋ	kʰuŋ	kʰuŋ		
誦	誦	心	東鍾撮	去	siuŋ	siuŋ	sywoŋ	sjuŋ	sjuŋ		
誦	訟	心	東鍾撮	去	siuŋ	siuŋ	sywoŋ	sjuŋ	sjuŋ		
誦	頌	心	東鍾撮	去	siuŋ	siuŋ	sywoŋ	sjuŋ	sjuŋ		
甕	甕	影	東鍾合	去	uŋ	uŋ	woŋ	uŋ	uŋ		
甕	𪖵	影	東鍾合	去	uŋ	uŋ	woŋ	uŋ	uŋ		
甕	𩌋	影	東鍾合	去	uŋ	uŋ	woŋ	uŋ	uŋ		
痛	痛	透	東鍾合	去	tʻuŋ	tʻuŋ	thwoŋ	tʰuŋ	tʰuŋ		
痛	慟	透	東鍾合	去	tʻuŋ	tʻuŋ	thwoŋ	tʰuŋ	tʰuŋ		
衆	衆	照	東鍾合	去	tʃuŋ	tʂuŋ	crwoŋ	tʂuŋ	tʂuŋ		
衆	中	照	東鍾合	去	tʃuŋ	tʂuŋ	crwoŋ	tʂuŋ	tʂuŋ		
衆	仲	照	東鍾合	去	tʃuŋ	tʂuŋ	crwoŋ	tʂuŋ	tʂuŋ		
衆	重	照	東鍾合	去	tʃuŋ	tʂuŋ	crwoŋ	tʂuŋ	tʂuŋ		
衆	種	照	東鍾合	去	tʃuŋ	tʂuŋ	crwoŋ	tʂuŋ	tʂuŋ		
縱	縱	精	東鍾撮	去	tsiuŋ	tsiuŋ	cywoŋ	tsjuŋ	tsjuŋ		
縱	從	精	東鍾撮	去	tsiuŋ	tsiuŋ	cywoŋ	tsjuŋ	tsjuŋ		
縱	粽	精	東鍾撮	去	tsiuŋ	tsiuŋ	cywoŋ	tsjuŋ	tsjuŋ		中古一等
夢	夢	明	東鍾合	去	muŋ	muŋ	mwoŋ	muŋ	muŋ		
夢	孟	明	東鍾合	去	muŋ	muŋ	mwoŋ	muŋ	muŋ		
用	用	影	東鍾撮	去	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
用	詠	影	東鍾撮	去	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
用	瑩	影	東鍾撮	去	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
哄	哄	曉	東鍾合	去	xuŋ	xuŋ	hwoŋ	xuŋ	xuŋ		
哄	閧鬨	曉	東鍾合	去	xuŋ	xuŋ	hwoŋ	xuŋ	xuŋ		
哄	橫横	曉	東鍾合	去	xuŋ	xuŋ	hwoŋ	xuŋ	xuŋ		
綜	綜	精	東鍾合	去	tsuŋ	tsuŋ	cwoŋ	tsuŋ	tsuŋ		
迸1	迸	幫	東鍾合	去	puŋ	puŋ	pwoŋ	puŋ	puŋ		
